"filename", "language", "JSON", "Markdown", "C++", "CMake", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\CMakeLists.txt", "CMake", 0, 0, 0, 22, 0, 5, 27
"c:\Users\jghig\cxxprojects\licanc\CMakePresets.json", "JSON", 44, 0, 0, 0, 0, 1, 45
"c:\Users\jghig\cxxprojects\licanc\README.md", "Markdown", 0, 2, 0, 0, 0, 1, 3
"c:\Users\jghig\cxxprojects\licanc\include\arena.hh", "C++", 0, 0, 42, 0, 3, 12, 57
"c:\Users\jghig\cxxprojects\licanc\include\ast.hh", "C++", 0, 0, 362, 0, 22, 106, 490
"c:\Users\jghig\cxxprojects\licanc\include\core.hh", "C++", 0, 0, 108, 0, 17, 43, 168
"c:\Users\jghig\cxxprojects\licanc\include\licanapi.hh", "C++", 0, 0, 26, 0, 22, 13, 61
"c:\Users\jghig\cxxprojects\licanc\include\parse.hh", "C++", 0, 0, 102, 0, 15, 26, 143
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hh", "C++", 0, 0, 137, 0, 12, 50, 199
"c:\Users\jghig\cxxprojects\licanc\include\token.hh", "C++", 0, 0, 87, 0, 1, 24, 112
"c:\Users\jghig\cxxprojects\licanc\include\util.hh", "C++", 0, 0, 53, 0, 10, 14, 77
"c:\Users\jghig\cxxprojects\licanc\src\ast.cc", "C++", 0, 0, 345, 0, 7, 45, 397
"c:\Users\jghig\cxxprojects\licanc\src\core.cc", "C++", 0, 0, 54, 0, 0, 17, 71
"c:\Users\jghig\cxxprojects\licanc\src\generate.cc", "C++", 0, 0, 9, 0, 0, 3, 12
"c:\Users\jghig\cxxprojects\licanc\src\lex.cc", "C++", 0, 0, 213, 0, 18, 60, 291
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cc", "C++", 0, 0, 117, 0, 6, 35, 158
"c:\Users\jghig\cxxprojects\licanc\src\main.cc", "C++", 0, 0, 151, 0, 16, 50, 217
"c:\Users\jghig\cxxprojects\licanc\src\parse.cc", "C++", 0, 0, 618, 0, 77, 197, 892
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", 0, 0, 516, 0, 137, 186, 839
"c:\Users\jghig\cxxprojects\licanc\src\symbol.cc", "C++", 0, 0, 138, 0, 3, 27, 168
"Total", "-", 44, 2, 3078, 22, 366, 915, 4427